seq,uri,label,subPropertyOf,range,unitMeasure
50,http://w3id.org/foodie/fadn#SE131,Total output,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
51,http://w3id.org/foodie/fadn#SE132,Total output / Total input,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
52,http://w3id.org/foodie/fadn#SE132D,Total output / Total input D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
53,http://w3id.org/foodie/fadn#SE132N,Total output / Total input N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
54,http://w3id.org/foodie/fadn#SE135,Total output crops & crop production,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Number
55,http://w3id.org/foodie/fadn#SE136,Total crops output / ha,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
56,http://w3id.org/foodie/fadn#SE136D,Total crops output / ha D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
57,http://w3id.org/foodie/fadn#SE136N,Total crops output / ha N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
58,http://w3id.org/foodie/fadn#SE140,Cereals,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
59,http://w3id.org/foodie/fadn#SE145,Protein crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
60,http://w3id.org/foodie/fadn#SE146,Energy crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
61,http://w3id.org/foodie/fadn#SE150,Potatoes,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
62,http://w3id.org/foodie/fadn#SE155,Sugar beet,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
63,http://w3id.org/foodie/fadn#SE160,Oil-seed crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
64,http://w3id.org/foodie/fadn#SE165,Industrial crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
65,http://w3id.org/foodie/fadn#SE170,Vegetables & flowers,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
66,http://w3id.org/foodie/fadn#SE175,Fruit,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
67,http://w3id.org/foodie/fadn#SE180,Citrus fruit,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
68,http://w3id.org/foodie/fadn#SE185,Wine and grapes,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
69,http://w3id.org/foodie/fadn#SE190,Olives & olive oil,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
70,http://w3id.org/foodie/fadn#SE195,Forage crops,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
71,http://w3id.org/foodie/fadn#SE200,Other crop output,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
72,http://w3id.org/foodie/fadn#SE206,Total output livestock & livestock products,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
73,http://w3id.org/foodie/fadn#SE207,Total livestock output / LU,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
74,http://w3id.org/foodie/fadn#SE207D,Total livestock output / LU D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
75,http://w3id.org/foodie/fadn#SE207N,Total livestock output / LU N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
76,http://w3id.org/foodie/fadn#SE211,Change in value of livestock,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
77,http://w3id.org/foodie/fadn#SE216,Cows' milk & milk products,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
78,http://w3id.org/foodie/fadn#SE220,Beef and veal,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
79,http://w3id.org/foodie/fadn#SE225,Pigmeat,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
80,http://w3id.org/foodie/fadn#SE230,Sheep and goats,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
81,http://w3id.org/foodie/fadn#SE235,Poultrymeat,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
82,http://w3id.org/foodie/fadn#SE240,Eggs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
83,http://w3id.org/foodie/fadn#SE245,Ewes' and goats' milk,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
84,http://w3id.org/foodie/fadn#SE251,Other livestock & products,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
85,http://w3id.org/foodie/fadn#SE256,Other output,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
86,http://w3id.org/foodie/fadn#SE260,Farmhouse consumption,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
87,http://w3id.org/foodie/fadn#SE265,Farm use,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
88,http://w3id.org/foodie/fadn#SE270,Total Inputs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
89,http://w3id.org/foodie/fadn#SE275,Total intermediate consumption,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
90,http://w3id.org/foodie/fadn#SE281,Total specific costs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
91,http://w3id.org/foodie/fadn#SE284,Specific crop costs / ha,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
92,http://w3id.org/foodie/fadn#SE284D,Specific crop costs / ha D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
93,http://w3id.org/foodie/fadn#SE284N,Specific crop costs / ha N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerHectare
94,http://w3id.org/foodie/fadn#SE285,Seeds and plants,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
95,http://w3id.org/foodie/fadn#SE290,Seeds and plants home-grown,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
96,http://w3id.org/foodie/fadn#SE295,Fertilisers,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
97,http://w3id.org/foodie/fadn#SE296,Fertiliser N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
98,http://w3id.org/foodie/fadn#SE297,Fertiliser P2O5,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
99,http://w3id.org/foodie/fadn#SE298,Fertiliser K2O,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
100,http://w3id.org/foodie/fadn#SE300,Crop protection,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
101,http://w3id.org/foodie/fadn#SE305,Other crop specific costs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
102,http://w3id.org/foodie/fadn#SE309,Specific livestock costs / LU,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
103,http://w3id.org/foodie/fadn#SE309D,Specific livestock costs / LU D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
104,http://w3id.org/foodie/fadn#SE309N,Specific livestock costs / LU N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyPerLivestockUnit
105,http://w3id.org/foodie/fadn#SE310,Feed for grazing livestock,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
106,http://w3id.org/foodie/fadn#SE315,Feed for grazing livestock home-grown,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
107,http://w3id.org/foodie/fadn#SE320,Feed for pigs & poultry,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
108,http://w3id.org/foodie/fadn#SE325,Feed for pigs&poultry home-grown,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
109,http://w3id.org/foodie/fadn#SE330,Other livestock specific costs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
110,http://w3id.org/foodie/fadn#SE331,Forestry specific costs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
111,http://w3id.org/foodie/fadn#SE336,Total farming overheads,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
112,http://w3id.org/foodie/fadn#SE340,Machinery & building current costs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
113,http://w3id.org/foodie/fadn#SE345,Energy,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney
